district,state,year,quarter,registered_users,app_openings
karur district,tamil-nadu,2021,1,168402,2748286
kallakkurichi district,tamil-nadu,2021,1,231208,4214895
viluppuram district,tamil-nadu,2021,1,287910,5813660
pudukkottai district,tamil-nadu,2021,1,178074,2798190
perambalur district,tamil-nadu,2021,1,85113,1379818
coimbatore district,tamil-nadu,2021,1,1304141,28188456
virudhunagar district,tamil-nadu,2021,1,262406,4141001
dindigul district,tamil-nadu,2021,1,334350,6175195
sivaganga district,tamil-nadu,2021,1,181917,3022065
tenkasi district,tamil-nadu,2021,1,155104,2189726
chengalpattu district,tamil-nadu,2021,1,1259678,32721455
kanniyakumari district,tamil-nadu,2021,1,284941,4119075
tirunelveli district,tamil-nadu,2021,1,258947,3981829
thiruvallur district,tamil-nadu,2021,1,1522407,36786664
theni district,tamil-nadu,2021,1,187104,3191924
ranipet district,tamil-nadu,2021,1,248923,5222726
namakkal district,tamil-nadu,2021,1,304004,5067526
vellore district,tamil-nadu,2021,1,346428,7829717
thiruvarur district,tamil-nadu,2021,1,129468,1944801
tiruchirappalli district,tamil-nadu,2021,2,565156,10014470
ramanathapuram district,tamil-nadu,2021,2,170759,5788658
krishnagiri district,tamil-nadu,2021,2,635191,20912278
cuddalore district,tamil-nadu,2021,2,430763,7572362
kancheepuram district,tamil-nadu,2021,2,957182,14405043
tiruppur district,tamil-nadu,2021,2,828168,13987286
dharmapuri district,tamil-nadu,2021,2,329355,11902186
thoothukkudi district,tamil-nadu,2021,2,267294,6425418
thanjavur district,tamil-nadu,2021,2,365299,6514813
madurai district,tamil-nadu,2021,2,675035,10452990
tiruvannamalai district,tamil-nadu,2021,2,396885,11401391
salem district,tamil-nadu,2021,2,742566,14905297
nagapattinam district,tamil-nadu,2021,2,184857,3829274
tirupathur district,tamil-nadu,2021,2,259721,6705794
ariyalur district,tamil-nadu,2021,2,108556,2853636
chennai district,tamil-nadu,2021,2,1988355,23465841
the nilgiris district,tamil-nadu,2021,2,142446,3953366
erode district,tamil-nadu,2021,2,482323,8787572
karur district,tamil-nadu,2021,2,181017,5491006
kallakkurichi district,tamil-nadu,2021,2,248488,6466350
viluppuram district,tamil-nadu,2021,2,309150,7877686
pudukkottai district,tamil-nadu,2021,2,191659,6718305
perambalur district,tamil-nadu,2021,2,91400,2624650
coimbatore district,tamil-nadu,2021,2,1393621,20466115
virudhunagar district,tamil-nadu,2021,2,281847,6465638
dindigul district,tamil-nadu,2021,2,358919,10288708
sivaganga district,tamil-nadu,2021,2,195549,6634652
tenkasi district,tamil-nadu,2021,2,166417,3782378
chengalpattu district,tamil-nadu,2021,2,1344163,20067816
kanniyakumari district,tamil-nadu,2021,2,305185,4065120
tirunelveli district,tamil-nadu,2021,2,277572,5628868
