district,state,year,quarter,registered_users,app_openings
raisen district,madhya-pradesh,2022,4,422588,30548973
mandsaur district,madhya-pradesh,2022,4,442210,28091170
barwani district,madhya-pradesh,2022,4,213948,16755678
katni district,madhya-pradesh,2022,4,302854,16500045
dindori district,madhya-pradesh,2022,4,103662,6035734
shivpuri district,madhya-pradesh,2022,4,351269,21500488
gwalior district,madhya-pradesh,2022,4,1073648,45930098
anuppur district,madhya-pradesh,2022,4,174706,9376305
agar malwa district,madhya-pradesh,2022,4,147143,12762713
ashoknagar district,madhya-pradesh,2022,4,172336,9899893
sagar district,madhya-pradesh,2022,4,667526,33185928
niwari district,madhya-pradesh,2022,4,76105,4051188
rewa district,madhya-pradesh,2022,4,622122,30243159
shajapur district,madhya-pradesh,2022,4,296780,22736814
ujjain district,madhya-pradesh,2022,4,794711,52095488
bhind district,madhya-pradesh,2022,4,382471,17531261
tikamgarh district,madhya-pradesh,2022,4,193659,10491591
seoni district,madhya-pradesh,2022,4,314556,20379082
harda district,madhya-pradesh,2022,4,154023,10530285
burhanpur district,madhya-pradesh,2022,4,178750,11157932
damoh district,madhya-pradesh,2022,4,233462,12019861
bhopal district,madhya-pradesh,2022,4,2009655,119312036
jhabua district,madhya-pradesh,2022,4,154481,11635082
dhar district,madhya-pradesh,2022,4,648535,52813178
guna district,madhya-pradesh,2022,4,403515,20527886
east nimar district,madhya-pradesh,2022,4,309932,22866187
chhindwara district,madhya-pradesh,2022,4,613456,35491677
umaria district,madhya-pradesh,2022,4,120128,6482976
mandla district,madhya-pradesh,2022,4,193318,10767950
indore district,madhya-pradesh,2022,4,2660518,179643787
shahdol district,madhya-pradesh,2022,4,255641,14202505
ratlam district,madhya-pradesh,2022,4,484038,28421055
panna district,madhya-pradesh,2022,4,156023,9147623
chhatarpur district,madhya-pradesh,2022,4,399052,18586587
morena district,madhya-pradesh,2023,1,479647,37631269
alirajpur district,madhya-pradesh,2023,1,75360,23434331
sehore district,madhya-pradesh,2023,1,526495,65379842
rajgarh district,madhya-pradesh,2023,1,454742,87778262
khargone district,madhya-pradesh,2023,1,460046,77096706
satna district,madhya-pradesh,2023,1,596769,52881467
narsinghpur district,madhya-pradesh,2023,1,343846,34114219
jabalpur district,madhya-pradesh,2023,1,1025803,39083376
hoshangabad district,madhya-pradesh,2023,1,447376,39928185
vidisha district,madhya-pradesh,2023,1,449990,68496548
balaghat district,madhya-pradesh,2023,1,452700,58300660
singrauli district,madhya-pradesh,2023,1,362658,65603700
betul district,madhya-pradesh,2023,1,459626,69729003
sidhi district,madhya-pradesh,2023,1,226795,41401608
datia district,madhya-pradesh,2023,1,173988,21850490
dewas district,madhya-pradesh,2023,1,579697,75964676
sheopur district,madhya-pradesh,2023,1,122856,29666430
neemuch district,madhya-pradesh,2023,1,294613,34986206
raisen district,madhya-pradesh,2023,1,443050,71097545
mandsaur district,madhya-pradesh,2023,1,463718,59763542
barwani district,madhya-pradesh,2023,1,224144,67968547
katni district,madhya-pradesh,2023,1,317477,31459722
dindori district,madhya-pradesh,2023,1,108680,38322192
shivpuri district,madhya-pradesh,2023,1,368571,77723539
gwalior district,madhya-pradesh,2023,1,1123707,34624349
anuppur district,madhya-pradesh,2023,1,183119,25516447
agar malwa district,madhya-pradesh,2023,1,154686,31911322
ashoknagar district,madhya-pradesh,2023,1,180467,37121086
sagar district,madhya-pradesh,2023,1,699722,72760363
niwari district,madhya-pradesh,2023,1,79831,9762781
rewa district,madhya-pradesh,2023,1,651354,47280365
shajapur district,madhya-pradesh,2023,1,311369,42769385
ujjain district,madhya-pradesh,2023,1,832451,68659362
bhind district,madhya-pradesh,2023,1,401533,34108201
tikamgarh district,madhya-pradesh,2023,1,203615,34104680
seoni district,madhya-pradesh,2023,1,329353,72346958
harda district,madhya-pradesh,2023,1,161225,25064139
burhanpur district,madhya-pradesh,2023,1,187246,28593494
damoh district,madhya-pradesh,2023,1,244449,47365687
bhopal district,madhya-pradesh,2023,1,2101098,36857306
jhabua district,madhya-pradesh,2023,1,162127,40991184
dhar district,madhya-pradesh,2023,1,679569,96755650
guna district,madhya-pradesh,2023,1,423812,59399911
east nimar district,madhya-pradesh,2023,1,325222,64812841
chhindwara district,madhya-pradesh,2023,1,642022,85439101
umaria district,madhya-pradesh,2023,1,125957,29184137
mandla district,madhya-pradesh,2023,1,202648,40564672
indore district,madhya-pradesh,2023,1,2780295,57741292
shahdol district,madhya-pradesh,2023,1,267723,44837756
ratlam district,madhya-pradesh,2023,1,507397,49315913
panna district,madhya-pradesh,2023,1,163536,41423381
chhatarpur district,madhya-pradesh,2023,1,418638,59282579
morena district,madhya-pradesh,2023,2,501991,44303961
alirajpur district,madhya-pradesh,2023,2,79103,33655290
sehore district,madhya-pradesh,2023,2,550240,75759384
rajgarh district,madhya-pradesh,2023,2,476568,95790411
khargone district,madhya-pradesh,2023,2,480998,90066564
satna district,madhya-pradesh,2023,2,623076,62087030
narsinghpur district,madhya-pradesh,2023,2,359174,33933096
jabalpur district,madhya-pradesh,2023,2,1065846,46208809
hoshangabad district,madhya-pradesh,2023,2,466410,48289574
vidisha district,madhya-pradesh,2023,2,470884,76792927
balaghat district,madhya-pradesh,2023,2,473522,57362715
singrauli district,madhya-pradesh,2023,2,379057,72561114
betul district,madhya-pradesh,2023,2,480548,82699553
sidhi district,madhya-pradesh,2023,2,237697,51657758
datia district,madhya-pradesh,2023,2,182229,25734205
dewas district,madhya-pradesh,2023,2,605064,86037242
sheopur district,madhya-pradesh,2023,2,128883,29668961
neemuch district,madhya-pradesh,2023,2,307893,41838144
raisen district,madhya-pradesh,2023,2,463359,85008383
mandsaur district,madhya-pradesh,2023,2,485021,57161622
barwani district,madhya-pradesh,2023,2,234410,78673276
katni district,madhya-pradesh,2023,2,331658,35762902
dindori district,madhya-pradesh,2023,2,114018,47735012
shivpuri district,madhya-pradesh,2023,2,386527,86644836
gwalior district,madhya-pradesh,2023,2,1168513,39446121
anuppur district,madhya-pradesh,2023,2,191497,32180305
agar malwa district,madhya-pradesh,2023,2,162283,38105847
ashoknagar district,madhya-pradesh,2023,2,189217,38560971
sagar district,madhya-pradesh,2023,2,730094,84163812
niwari district,madhya-pradesh,2023,2,83757,13164451
rewa district,madhya-pradesh,2023,2,680100,63293893
shajapur district,madhya-pradesh,2023,2,325913,37918115
ujjain district,madhya-pradesh,2023,2,868546,70456020
bhind district,madhya-pradesh,2023,2,420416,44645036
tikamgarh district,madhya-pradesh,2023,2,213514,35225740
seoni district,madhya-pradesh,2023,2,344864,84759817
harda district,madhya-pradesh,2023,2,168686,35419049
burhanpur district,madhya-pradesh,2023,2,195346,32515070
damoh district,madhya-pradesh,2023,2,255940,50430375
bhopal district,madhya-pradesh,2023,2,2179557,44019208
jhabua district,madhya-pradesh,2023,2,169870,46313281
dhar district,madhya-pradesh,2023,2,710181,111729816
guna district,madhya-pradesh,2023,2,443002,67027382
east nimar district,madhya-pradesh,2023,2,340076,74236041
chhindwara district,madhya-pradesh,2023,2,670155,90179200
umaria district,madhya-pradesh,2023,2,131892,29365794
mandla district,madhya-pradesh,2023,2,212201,49178899
indore district,madhya-pradesh,2023,2,2883610,57765917
shahdol district,madhya-pradesh,2023,2,279795,50821975
ratlam district,madhya-pradesh,2023,2,530037,51291197
panna district,madhya-pradesh,2023,2,171675,51268795
chhatarpur district,madhya-pradesh,2023,2,438017,76713826
morena district,madhya-pradesh,2019,1,113900,0
alirajpur district,madhya-pradesh,2019,1,13122,0
sehore district,madhya-pradesh,2019,1,149925,0
rajgarh district,madhya-pradesh,2019,1,106743,0
khargone district,madhya-pradesh,2019,1,109408,0
satna district,madhya-pradesh,2019,1,160954,0
narsinghpur district,madhya-pradesh,2019,1,95833,0
jabalpur district,madhya-pradesh,2019,1,295042,0
hoshangabad district,madhya-pradesh,2019,1,123858,0
vidisha district,madhya-pradesh,2019,1,112602,0
balaghat district,madhya-pradesh,2019,1,108073,0
singrauli district,madhya-pradesh,2019,1,107427,0
betul district,madhya-pradesh,2019,1,122961,0
sidhi district,madhya-pradesh,2019,1,55922,0
datia district,madhya-pradesh,2019,1,46221,0
dewas district,madhya-pradesh,2019,1,155786,0
sheopur district,madhya-pradesh,2019,1,27456,0
neemuch district,madhya-pradesh,2019,1,72918,0
raisen district,madhya-pradesh,2019,1,117214,0
mandsaur district,madhya-pradesh,2019,1,112086,0
barwani district,madhya-pradesh,2019,1,46138,0
katni district,madhya-pradesh,2019,1,79580,0
dindori district,madhya-pradesh,2019,1,22197,0
shivpuri district,madhya-pradesh,2019,1,73259,0
gwalior district,madhya-pradesh,2019,1,331504,0
anuppur district,madhya-pradesh,2019,1,49988,0
agar malwa district,madhya-pradesh,2019,1,33425,0
ashoknagar district,madhya-pradesh,2019,1,44386,0
sagar district,madhya-pradesh,2019,1,194467,0
niwari district,madhya-pradesh,2019,1,19076,0
rewa district,madhya-pradesh,2019,1,188803,0
shajapur district,madhya-pradesh,2019,1,76924,0
ujjain district,madhya-pradesh,2019,1,214818,0
bhind district,madhya-pradesh,2019,1,94313,0
tikamgarh district,madhya-pradesh,2019,1,44716,0
seoni district,madhya-pradesh,2019,1,82398,0
harda district,madhya-pradesh,2019,1,43995,0
burhanpur district,madhya-pradesh,2019,1,42152,0
damoh district,madhya-pradesh,2019,1,62435,0
bhopal district,madhya-pradesh,2019,1,670417,0
jhabua district,madhya-pradesh,2019,1,29064,0
dhar district,madhya-pradesh,2019,1,166663,0
guna district,madhya-pradesh,2019,1,98816,0
east nimar district,madhya-pradesh,2019,1,75806,0
chhindwara district,madhya-pradesh,2019,1,168633,0
umaria district,madhya-pradesh,2019,1,31962,0
mandla district,madhya-pradesh,2019,1,44325,0
indore district,madhya-pradesh,2019,1,844465,0
shahdol district,madhya-pradesh,2019,1,71433,0
ratlam district,madhya-pradesh,2019,1,127023,0
panna district,madhya-pradesh,2019,1,38426,0
chhatarpur district,madhya-pradesh,2019,1,95345,0
morena district,madhya-pradesh,2019,2,130988,777753
alirajpur district,madhya-pradesh,2019,2,15642,75803
sehore district,madhya-pradesh,2019,2,168843,1607496
rajgarh district,madhya-pradesh,2019,2,122223,914718
khargone district,madhya-pradesh,2019,2,126108,754539
satna district,madhya-pradesh,2019,2,182176,1103731
narsinghpur district,madhya-pradesh,2019,2,108271,651430
jabalpur district,madhya-pradesh,2019,2,336963,1955565
hoshangabad district,madhya-pradesh,2019,2,139812,794980
vidisha district,madhya-pradesh,2019,2,127894,871790
balaghat district,madhya-pradesh,2019,2,124374,842881
singrauli district,madhya-pradesh,2019,2,118756,944546
betul district,madhya-pradesh,2019,2,139098,864376
sidhi district,madhya-pradesh,2019,2,63838,424569
datia district,madhya-pradesh,2019,2,51973,290545
dewas district,madhya-pradesh,2019,2,177137,1331142
sheopur district,madhya-pradesh,2019,2,31903,184994
neemuch district,madhya-pradesh,2019,2,83550,500354
raisen district,madhya-pradesh,2019,2,132559,971165
mandsaur district,madhya-pradesh,2019,2,128631,773359
barwani district,madhya-pradesh,2019,2,54556,277619
katni district,madhya-pradesh,2019,2,92245,527269
dindori district,madhya-pradesh,2019,2,26511,200672
shivpuri district,madhya-pradesh,2019,2,86583,501054
gwalior district,madhya-pradesh,2019,2,373367,2306557
anuppur district,madhya-pradesh,2019,2,56658,377803
agar malwa district,madhya-pradesh,2019,2,38600,292056
ashoknagar district,madhya-pradesh,2019,2,50062,279455
sagar district,madhya-pradesh,2019,2,219328,1334316
niwari district,madhya-pradesh,2019,2,22172,132750
rewa district,madhya-pradesh,2019,2,211420,1287270
shajapur district,madhya-pradesh,2019,2,87512,629192
ujjain district,madhya-pradesh,2019,2,247033,1607376
bhind district,madhya-pradesh,2019,2,109406,631202
tikamgarh district,madhya-pradesh,2019,2,51785,327273
seoni district,madhya-pradesh,2019,2,95004,627785
harda district,madhya-pradesh,2019,2,49716,277928
burhanpur district,madhya-pradesh,2019,2,47659,216546
damoh district,madhya-pradesh,2019,2,70868,405290
bhopal district,madhya-pradesh,2019,2,756839,7697255
jhabua district,madhya-pradesh,2019,2,34299,183947
dhar district,madhya-pradesh,2019,2,190659,1306926
guna district,madhya-pradesh,2019,2,112899,675382
east nimar district,madhya-pradesh,2019,2,87794,538741
chhindwara district,madhya-pradesh,2019,2,192226,1236564
umaria district,madhya-pradesh,2019,2,36814,252403
mandla district,madhya-pradesh,2019,2,52317,300514
indore district,madhya-pradesh,2019,2,955207,7253934
shahdol district,madhya-pradesh,2019,2,80859,533248
ratlam district,madhya-pradesh,2019,2,144931,880438
panna district,madhya-pradesh,2019,2,44821,285489
chhatarpur district,madhya-pradesh,2019,2,110283,622161
morena district,madhya-pradesh,2019,3,148083,2558044
alirajpur district,madhya-pradesh,2019,3,18270,257443
sehore district,madhya-pradesh,2019,3,187387,6080342
rajgarh district,madhya-pradesh,2019,3,136848,3338233
khargone district,madhya-pradesh,2019,3,141346,2690866
satna district,madhya-pradesh,2019,3,203019,3664411
narsinghpur district,madhya-pradesh,2019,3,120875,2274938
jabalpur district,madhya-pradesh,2019,3,380209,7606084
hoshangabad district,madhya-pradesh,2019,3,155059,2757837
vidisha district,madhya-pradesh,2019,3,144856,3295731
balaghat district,madhya-pradesh,2019,3,140473,2940988
singrauli district,madhya-pradesh,2019,3,128398,3202868
betul district,madhya-pradesh,2019,3,154313,2992371
sidhi district,madhya-pradesh,2019,3,70641,1355033
datia district,madhya-pradesh,2019,3,57230,935190
dewas district,madhya-pradesh,2019,3,198483,5008074
sheopur district,madhya-pradesh,2019,3,35602,615351
neemuch district,madhya-pradesh,2019,3,93754,1784172
raisen district,madhya-pradesh,2019,3,146998,3523241
mandsaur district,madhya-pradesh,2019,3,144312,2768886
barwani district,madhya-pradesh,2019,3,62370,1003282
katni district,madhya-pradesh,2019,3,103909,1770759
dindori district,madhya-pradesh,2019,3,29957,660281
shivpuri district,madhya-pradesh,2019,3,99753,1753937
gwalior district,madhya-pradesh,2019,3,417846,8875564
anuppur district,madhya-pradesh,2019,3,62143,1313916
agar malwa district,madhya-pradesh,2019,3,43676,1029333
ashoknagar district,madhya-pradesh,2019,3,55130,940189
sagar district,madhya-pradesh,2019,3,243729,4741797
niwari district,madhya-pradesh,2019,3,24850,431904
rewa district,madhya-pradesh,2019,3,232367,4200296
shajapur district,madhya-pradesh,2019,3,98393,2337301
ujjain district,madhya-pradesh,2019,3,280589,6334170
bhind district,madhya-pradesh,2019,3,123531,2077370
tikamgarh district,madhya-pradesh,2019,3,58461,1053442
seoni district,madhya-pradesh,2019,3,105476,2091333
harda district,madhya-pradesh,2019,3,54924,903997
burhanpur district,madhya-pradesh,2019,3,54323,843768
damoh district,madhya-pradesh,2019,3,78642,1332506
bhopal district,madhya-pradesh,2019,3,846170,34013069
jhabua district,madhya-pradesh,2019,3,39668,646506
dhar district,madhya-pradesh,2019,3,214712,4674725
guna district,madhya-pradesh,2019,3,129027,2417458
east nimar district,madhya-pradesh,2019,3,98963,1908947
chhindwara district,madhya-pradesh,2019,3,214945,4290764
umaria district,madhya-pradesh,2019,3,40677,837857
mandla district,madhya-pradesh,2019,3,59617,1003980
indore district,madhya-pradesh,2019,3,1071598,30899773
shahdol district,madhya-pradesh,2019,3,89794,1918937
ratlam district,madhya-pradesh,2019,3,163826,3484646
panna district,madhya-pradesh,2019,3,49989,873018
chhatarpur district,madhya-pradesh,2019,3,125453,2038452
morena district,madhya-pradesh,2019,4,167329,3159169
alirajpur district,madhya-pradesh,2019,4,21450,346159
sehore district,madhya-pradesh,2019,4,208256,7562268
rajgarh district,madhya-pradesh,2019,4,154830,4313460
khargone district,madhya-pradesh,2019,4,160372,3603726
satna district,madhya-pradesh,2019,4,228680,4817447
narsinghpur district,madhya-pradesh,2019,4,134332,2841784
jabalpur district,madhya-pradesh,2019,4,422786,9017794
hoshangabad district,madhya-pradesh,2019,4,172206,3514682
vidisha district,madhya-pradesh,2019,4,165400,4073865
balaghat district,madhya-pradesh,2019,4,159937,3834727
singrauli district,madhya-pradesh,2019,4,142034,4135327
betul district,madhya-pradesh,2019,4,173691,3951316
sidhi district,madhya-pradesh,2019,4,80459,1795727
datia district,madhya-pradesh,2019,4,64135,1183175
dewas district,madhya-pradesh,2019,4,221533,6060885
sheopur district,madhya-pradesh,2019,4,40736,796162
neemuch district,madhya-pradesh,2019,4,105842,2304046
raisen district,madhya-pradesh,2019,4,165108,4296565
mandsaur district,madhya-pradesh,2019,4,164446,3663257
barwani district,madhya-pradesh,2019,4,72187,1344420
katni district,madhya-pradesh,2019,4,117834,2270464
dindori district,madhya-pradesh,2019,4,34661,858945
shivpuri district,madhya-pradesh,2019,4,117138,2219390
gwalior district,madhya-pradesh,2019,4,461960,10738672
anuppur district,madhya-pradesh,2019,4,69666,1725717
agar malwa district,madhya-pradesh,2019,4,49638,1299939
ashoknagar district,madhya-pradesh,2019,4,61984,1197370
sagar district,madhya-pradesh,2019,4,272650,5872759
niwari district,madhya-pradesh,2019,4,27993,521308
rewa district,madhya-pradesh,2019,4,260351,5452304
shajapur district,madhya-pradesh,2019,4,111387,2954931
ujjain district,madhya-pradesh,2019,4,314250,7706483
bhind district,madhya-pradesh,2019,4,140487,2609386
tikamgarh district,madhya-pradesh,2019,4,67015,1322633
seoni district,madhya-pradesh,2019,4,119177,2659804
harda district,madhya-pradesh,2019,4,61192,1185372
burhanpur district,madhya-pradesh,2019,4,62012,1107161
damoh district,madhya-pradesh,2019,4,88723,1655595
bhopal district,madhya-pradesh,2019,4,926576,38780902
jhabua district,madhya-pradesh,2019,4,45768,814254
dhar district,madhya-pradesh,2019,4,242108,6002521
guna district,madhya-pradesh,2019,4,150709,3020481
east nimar district,madhya-pradesh,2019,4,111341,2391157
chhindwara district,madhya-pradesh,2019,4,240962,5506331
umaria district,madhya-pradesh,2019,4,45879,1095825
mandla district,madhya-pradesh,2019,4,68825,1314703
indore district,madhya-pradesh,2019,4,1181500,38446764
shahdol district,madhya-pradesh,2019,4,101136,2465517
ratlam district,madhya-pradesh,2019,4,183893,4312980
panna district,madhya-pradesh,2019,4,57005,1158269
chhatarpur district,madhya-pradesh,2019,4,145672,2561078
morena district,madhya-pradesh,2021,1,289939,7286647
alirajpur district,madhya-pradesh,2021,1,44762,957474
sehore district,madhya-pradesh,2021,1,323704,13261091
rajgarh district,madhya-pradesh,2021,1,270842,10221796
khargone district,madhya-pradesh,2021,1,281236,9020662
satna district,madhya-pradesh,2021,1,368299,10016376
narsinghpur district,madhya-pradesh,2021,1,214249,6119619
jabalpur district,madhya-pradesh,2021,1,650087,17013715
hoshangabad district,madhya-pradesh,2021,1,277931,7999438
vidisha district,madhya-pradesh,2021,1,274866,8148091
balaghat district,madhya-pradesh,2021,1,278215,8823124
singrauli district,madhya-pradesh,2021,1,221433,8797507
betul district,madhya-pradesh,2021,1,285621,8986356
sidhi district,madhya-pradesh,2021,1,137421,4335454
datia district,madhya-pradesh,2021,1,106332,2671664
dewas district,madhya-pradesh,2021,1,358124,13374910
sheopur district,madhya-pradesh,2021,1,73775,1910721
neemuch district,madhya-pradesh,2021,1,178235,4924752
raisen district,madhya-pradesh,2021,1,272622,9391937
mandsaur district,madhya-pradesh,2021,1,279783,7749487
barwani district,madhya-pradesh,2021,1,136583,4178618
katni district,madhya-pradesh,2021,1,195985,5374853
dindori district,madhya-pradesh,2021,1,65047,1911876
shivpuri district,madhya-pradesh,2021,1,219381,6639272
gwalior district,madhya-pradesh,2021,1,703232,21185809
anuppur district,madhya-pradesh,2021,1,112519,3789922
agar malwa district,madhya-pradesh,2021,1,91340,3101167
ashoknagar district,madhya-pradesh,2021,1,109372,3072156
sagar district,madhya-pradesh,2021,1,432938,11962030
niwari district,madhya-pradesh,2021,1,47790,1193738
rewa district,madhya-pradesh,2021,1,403013,11566676
shajapur district,madhya-pradesh,2021,1,188759,6634450
ujjain district,madhya-pradesh,2021,1,513868,16282572
bhind district,madhya-pradesh,2021,1,242318,5815370
tikamgarh district,madhya-pradesh,2021,1,120720,3198089
seoni district,madhya-pradesh,2021,1,202103,6250770
harda district,madhya-pradesh,2021,1,100149,2843519
burhanpur district,madhya-pradesh,2021,1,114766,3206426
damoh district,madhya-pradesh,2021,1,150665,3641799
bhopal district,madhya-pradesh,2021,1,1340741,58411069
jhabua district,madhya-pradesh,2021,1,96483,2562361
dhar district,madhya-pradesh,2021,1,415117,14747039
guna district,madhya-pradesh,2021,1,255002,7638668
east nimar district,madhya-pradesh,2021,1,196341,6130447
chhindwara district,madhya-pradesh,2021,1,399276,12492218
umaria district,madhya-pradesh,2021,1,76879,2468522
mandla district,madhya-pradesh,2021,1,123283,3279877
indore district,madhya-pradesh,2021,1,1769869,68567452
shahdol district,madhya-pradesh,2021,1,165899,5794627
ratlam district,madhya-pradesh,2021,1,309912,9084625
panna district,madhya-pradesh,2021,1,99260,2725252
chhatarpur district,madhya-pradesh,2021,1,253341,5738186
morena district,madhya-pradesh,2021,2,312340,11658992
alirajpur district,madhya-pradesh,2021,2,48799,4214096
sehore district,madhya-pradesh,2021,2,347748,20406703
rajgarh district,madhya-pradesh,2021,2,292808,21068586
khargone district,madhya-pradesh,2021,2,303115,17984042
satna district,madhya-pradesh,2021,2,395440,18158846
narsinghpur district,madhya-pradesh,2021,2,229785,10827026
jabalpur district,madhya-pradesh,2021,2,695130,16368504
hoshangabad district,madhya-pradesh,2021,2,298276,12814860
vidisha district,madhya-pradesh,2021,2,295656,17978994
balaghat district,madhya-pradesh,2021,2,299166,16744453
singrauli district,madhya-pradesh,2021,2,238061,16474895
betul district,madhya-pradesh,2021,2,306387,19842980
sidhi district,madhya-pradesh,2021,2,148292,10902853
datia district,madhya-pradesh,2021,2,114602,6086229
dewas district,madhya-pradesh,2021,2,384805,19205815
sheopur district,madhya-pradesh,2021,2,79747,5448428
neemuch district,madhya-pradesh,2021,2,192351,7410653
raisen district,madhya-pradesh,2021,2,293092,18405753
mandsaur district,madhya-pradesh,2021,2,301823,12487874
barwani district,madhya-pradesh,2021,2,147396,11023324
katni district,madhya-pradesh,2021,2,210578,9347591
dindori district,madhya-pradesh,2021,2,70483,8065639
shivpuri district,madhya-pradesh,2021,2,237514,18049301
gwalior district,madhya-pradesh,2021,2,753172,17980510
anuppur district,madhya-pradesh,2021,2,121081,8163286
agar malwa district,madhya-pradesh,2021,2,98973,6682101
ashoknagar district,madhya-pradesh,2021,2,118179,9260965
sagar district,madhya-pradesh,2021,2,464791,21608570
niwari district,madhya-pradesh,2021,2,51713,2512818
rewa district,madhya-pradesh,2021,2,432682,20075053
shajapur district,madhya-pradesh,2021,2,203365,10781751
ujjain district,madhya-pradesh,2021,2,552204,18716097
bhind district,madhya-pradesh,2021,2,260861,11741937
tikamgarh district,madhya-pradesh,2021,2,130462,7731408
seoni district,madhya-pradesh,2021,2,217756,17586692
harda district,madhya-pradesh,2021,2,107671,6297529
burhanpur district,madhya-pradesh,2021,2,123507,5832545
damoh district,madhya-pradesh,2021,2,162046,9075927
bhopal district,madhya-pradesh,2021,2,1431127,34861095
jhabua district,madhya-pradesh,2021,2,104613,7481265
dhar district,madhya-pradesh,2021,2,447074,22841002
guna district,madhya-pradesh,2021,2,274820,15526087
east nimar district,madhya-pradesh,2021,2,211938,12412565
chhindwara district,madhya-pradesh,2021,2,428800,25550376
umaria district,madhya-pradesh,2021,2,82950,7042757
mandla district,madhya-pradesh,2021,2,132963,10150247
indore district,madhya-pradesh,2021,2,1892259,39059484
shahdol district,madhya-pradesh,2021,2,178327,12388319
ratlam district,madhya-pradesh,2021,2,333877,13571487
panna district,madhya-pradesh,2021,2,107148,8654462
chhatarpur district,madhya-pradesh,2021,2,273182,13178877
morena district,madhya-pradesh,2021,3,338470,13227729
alirajpur district,madhya-pradesh,2021,3,53291,4728456
sehore district,madhya-pradesh,2021,3,375721,25285016
rajgarh district,madhya-pradesh,2021,3,318695,27523308
khargone district,madhya-pradesh,2021,3,328193,23542083
satna district,madhya-pradesh,2021,3,426929,21267586
narsinghpur district,madhya-pradesh,2021,3,248007,12673244
jabalpur district,madhya-pradesh,2021,3,745631,21368026
hoshangabad district,madhya-pradesh,2021,3,321576,15390024
vidisha district,madhya-pradesh,2021,3,319665,21166904
balaghat district,madhya-pradesh,2021,3,323407,20217874
singrauli district,madhya-pradesh,2021,3,257742,21934340
betul district,madhya-pradesh,2021,3,330804,24205783
sidhi district,madhya-pradesh,2021,3,160978,12859544
datia district,madhya-pradesh,2021,3,124227,6899755
dewas district,madhya-pradesh,2021,3,415540,24454430
sheopur district,madhya-pradesh,2021,3,86932,6639347
neemuch district,madhya-pradesh,2021,3,208822,10636268
raisen district,madhya-pradesh,2021,3,316696,22130746
mandsaur district,madhya-pradesh,2021,3,328016,17663316
barwani district,madhya-pradesh,2021,3,159845,14536467
katni district,madhya-pradesh,2021,3,227610,11485240
dindori district,madhya-pradesh,2021,3,76885,9873401
shivpuri district,madhya-pradesh,2021,3,259032,22177059
gwalior district,madhya-pradesh,2021,3,809887,23812811
anuppur district,madhya-pradesh,2021,3,131119,10163761
agar malwa district,madhya-pradesh,2021,3,108028,9117151
ashoknagar district,madhya-pradesh,2021,3,128579,11583148
sagar district,madhya-pradesh,2021,3,501819,25492375
niwari district,madhya-pradesh,2021,3,56220,3258171
rewa district,madhya-pradesh,2021,3,466895,21869871
shajapur district,madhya-pradesh,2021,3,220532,13451565
ujjain district,madhya-pradesh,2021,3,596195,26081272
bhind district,madhya-pradesh,2021,3,282910,11482625
tikamgarh district,madhya-pradesh,2021,3,142145,9778556
seoni district,madhya-pradesh,2021,3,236282,22063729
harda district,madhya-pradesh,2021,3,116184,6514335
burhanpur district,madhya-pradesh,2021,3,133678,7850131
damoh district,madhya-pradesh,2021,3,175611,11666579
bhopal district,madhya-pradesh,2021,3,1531544,50710878
jhabua district,madhya-pradesh,2021,3,114139,10253704
dhar district,madhya-pradesh,2021,3,483901,30119220
guna district,madhya-pradesh,2021,3,298761,19937174
east nimar district,madhya-pradesh,2021,3,230302,16129967
chhindwara district,madhya-pradesh,2021,3,462834,32394030
umaria district,madhya-pradesh,2021,3,90077,9062967
mandla district,madhya-pradesh,2021,3,144612,12183232
indore district,madhya-pradesh,2021,3,2028266,62027203
shahdol district,madhya-pradesh,2021,3,192588,15912652
ratlam district,madhya-pradesh,2021,3,361407,18609747
panna district,madhya-pradesh,2021,3,116511,10267836
chhatarpur district,madhya-pradesh,2021,3,296493,15892288
morena district,madhya-pradesh,2021,4,364107,15841324
alirajpur district,madhya-pradesh,2021,4,57786,2467290
sehore district,madhya-pradesh,2021,4,403250,26357503
rajgarh district,madhya-pradesh,2021,4,343493,24636632
khargone district,madhya-pradesh,2021,4,352873,20582042
satna district,madhya-pradesh,2021,4,457858,20025485
narsinghpur district,madhya-pradesh,2021,4,265787,12022235
jabalpur district,madhya-pradesh,2021,4,796148,30708323
hoshangabad district,madhya-pradesh,2021,4,344648,16846971
vidisha district,madhya-pradesh,2021,4,344177,16357994
balaghat district,madhya-pradesh,2021,4,347200,18761708
singrauli district,madhya-pradesh,2021,4,276792,16021893
betul district,madhya-pradesh,2021,4,354334,17915195
sidhi district,madhya-pradesh,2021,4,173205,9085443
datia district,madhya-pradesh,2021,4,133518,5903288
dewas district,madhya-pradesh,2021,4,445758,27784624
sheopur district,madhya-pradesh,2021,4,93888,4425363
neemuch district,madhya-pradesh,2021,4,224442,11233575
raisen district,madhya-pradesh,2021,4,340113,19857437
mandsaur district,madhya-pradesh,2021,4,352936,17894151
barwani district,madhya-pradesh,2021,4,172064,10424021
katni district,madhya-pradesh,2021,4,244085,11313356
dindori district,madhya-pradesh,2021,4,83183,4058308
shivpuri district,madhya-pradesh,2021,4,279745,15194316
gwalior district,madhya-pradesh,2021,4,866561,37156850
anuppur district,madhya-pradesh,2021,4,140817,7245537
